2023-03-28 19:32:04,661 - land_customs - INFO - New entry: {'name': 'John', 'date': '2023-03-27', 'type': 'land'}
2023-03-28 19:32:04,662 - land_customs - INFO - New entry: {'name': 'Bob', 'date': '2023-03-25', 'type': 'land'}
2023-03-28 19:33:59,767 - land_customs - INFO - New entry: {'name': 'Amir', 'date': '2023-03-27', 'type': 'land'}
2023-03-28 19:33:59,767 - land_customs - INFO - New entry: {'name': 'Kazbek', 'date': '2023-03-25', 'type': 'land'}
2023-03-30 19:07:53,906 - land_customs - INFO - New entry: {'name': 'Amir', 'date': '2023-03-27', 'type': 'land'}
2023-03-30 19:07:53,906 - land_customs - INFO - New entry: {'name': 'Kazbek', 'date': '2023-03-25', 'type': 'land'}
2023-03-30 19:17:30,119 - land_customs - INFO - New entry: {'name': 'Amir', 'date': '2023-03-27', 'type': 'land'}
2023-03-30 19:17:30,119 - land_customs - INFO - New entry: {'name': 'Kazbek', 'date': '2023-03-25', 'type': 'land'}
2023-03-30 19:21:22,488 - land_customs - INFO - New entry: {'name': 'Amir', 'date': '2023-03-27', 'type': 'land'}
2023-03-30 19:21:22,488 - land_customs - INFO - New entry: {'name': 'Kazbek', 'date': '2023-03-25', 'type': 'land'}
2023-03-30 19:23:28,671 - land_customs - INFO - New entry: {'name': 'Amir', 'date': '2023-03-27', 'type': 'land'}
2023-03-30 19:23:28,677 - land_customs - INFO - New entry: {'name': 'Kazbek', 'date': '2023-03-25', 'type': 'land'}
2023-03-30 19:28:33,827 - land_customs - INFO - New entry: {'name': 'Amir', 'date': '2023-03-27', 'type': 'land'}
2023-03-30 19:28:33,828 - land_customs - INFO - New entry: {'name': 'Kazbek', 'date': '2023-03-25', 'type': 'land'}
2023-03-30 19:28:47,664 - land_customs - INFO - New entry: {'name': 'Amir', 'date': '2023-03-27', 'type': 'land'}
2023-03-30 19:28:58,284 - land_customs - INFO - New entry: {'name': 'Amir', 'date': '2023-03-27', 'type': 'land'}
2023-03-30 19:29:06,494 - land_customs - INFO - New entry: {'name': 'Amir', 'date': '2023-03-27', 'type': 'land'}
2023-03-30 19:29:06,494 - land_customs - INFO - New entry: {'name': 'Kazbek', 'date': '2023-03-25', 'type': 'land'}
2023-03-30 19:29:33,097 - land_customs - INFO - New entry: {'name': 'Amir', 'date': '2023-03-31', 'type': 'land'}
2023-03-30 19:29:33,097 - land_customs - INFO - New entry: {'name': 'Kazbek', 'date': '2023-03-25', 'type': 'land'}
2023-03-30 19:29:44,814 - land_customs - INFO - New entry: {'name': 'Amir', 'date': '2023-03-27', 'type': 'land'}
2023-03-30 19:29:44,814 - land_customs - INFO - New entry: {'name': 'Kazbek', 'date': '2023-03-25', 'type': 'land'}
2023-03-30 19:30:01,504 - land_customs - INFO - New entry: {'name': 'Amir', 'date': '2023-03-31', 'type': 'land'}
2023-03-30 19:30:01,504 - land_customs - INFO - New entry: {'name': 'Kazbek', 'date': '2023-03-25', 'type': 'land'}
2023-03-30 19:55:05,523 - land_customs - INFO - New entry: {'name': 'Amir', 'date': '2023-03-31', 'type': 'land'}
2023-03-30 19:55:05,523 - land_customs - INFO - New entry: {'name': 'Kazbek', 'date': '2023-03-25', 'type': 'land'}
2023-03-30 20:19:00,417 - land_customs - INFO - New entry: {'name': 'Amir', 'date': '2023-03-31', 'type': 'land'}
2023-03-30 20:19:00,418 - land_customs - INFO - New entry: {'name': 'Kazbek', 'date': '2023-03-25', 'type': 'land'}
