2023-03-31 19:29:46,450 - land_custom - INFO - New entry: {'name': 'Ronaldo', 'date': '2023-03-27', 'type': 'land'}
2023-03-31 19:29:46,451 - land_custom - INFO - New entry: {'name': 'Neymar', 'date': '2023-03-25', 'type': 'land'}
2023-03-31 19:33:03,991 - land_custom - INFO - New entry: {'name': 'Ronaldo', 'date': '2023-03-27', 'type': 'land'}
2023-03-31 19:33:03,991 - land_custom - INFO - New entry: {'name': 'Neymar', 'date': '2023-03-25', 'type': 'land'}
2023-03-31 19:33:26,496 - land_custom - INFO - New entry: {'name': 'Ronaldo', 'date': '2023-03-27', 'type': 'land'}
2023-03-31 19:33:26,497 - land_custom - INFO - New entry: {'name': 'Neymar', 'date': '2023-03-25', 'type': 'land'}
2023-03-31 19:36:19,352 - land_custom - INFO - New entry: {'name': 'Ronaldo', 'date': '2023-03-27', 'type': 'land'}
2023-03-31 19:36:19,352 - land_custom - INFO - New entry: {'name': 'Neymar', 'date': '2023-03-25', 'type': 'land'}
2023-03-31 19:37:26,675 - land_custom - INFO - New entry: {'name': 'Ronaldo', 'date': '2023-03-27', 'type': 'land'}
2023-03-31 19:37:26,676 - land_custom - INFO - New entry: {'name': 'Neymar', 'date': '2023-03-25', 'type': 'land'}
2023-03-31 19:38:21,894 - land_custom - INFO - New entry: {'name': 'Ronaldo', 'date': '2023-03-27', 'type': 'land'}
2023-03-31 19:38:21,894 - land_custom - INFO - New entry: {'name': 'Neymar', 'date': '2023-03-25', 'type': 'land'}
2023-03-31 19:40:04,576 - land_custom - INFO - New entry: {'name': 'Ronaldo', 'date': '2023-03-27', 'type': 'land'}
2023-03-31 19:40:04,577 - land_custom - INFO - New entry: {'name': 'Neymar', 'date': '2023-03-25', 'type': 'land'}
